M_Date,Hour,AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM25,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,PRE_PM25
2015/1/1,0,16,2,0.78,0.15,0.8,18,19,36,132,68,NR,64,6.6,2.1,68,72,5.1,3.8,68
2015/1/1,1,16,2,0.77,0.15,0.7,16,17,36,165,84,NR,63,8.2,2.1,74,69,4.9,3.5,68
2015/1/1,2,15,2,0.73,0.15,0.7,15,16,37,163,79,NR,64,7.7,2.1,74,66,4.1,3.3,84
2015/1/1,3,15,2,0.69,0.14,0.8,15,16,35,152,73,NR,65,6,2.1,67,71,3.7,2.8,79
2015/1/1,4,14,1.9,0.62,0.13,0.7,13,14,35,134,65,NR,67,5,2.1,74,73,3.7,2.7,73
2015/1/1,5,14,1.9,0.53,0.11,0.6,11,12,35,119,55,NR,68,4.2,2,67,67,4,3.1,65
2015/1/1,6,13,1.9,0.53,0.13,1,13,14,32,104,45,NR,67,4.2,2,71,73,4,2.9,55
2015/1/1,7,13,1.9,0.56,0.15,1.5,16,18,29,98,44,NR,65,4.3,2.1,70,72,4.1,3,45
2015/1/1,8,14,1.9,0.56,0.13,2.2,15,17,32,99,48,NR,60,5.2,2,75,80,5.5,3.8,44
2015/1/1,9,15,1.9,0.56,0.11,2.4,13,15,36,108,48,NR,55,5.2,2,74,76,5.4,4.7,48
2015/1/1,10,15,1.9,0.57,0.12,2.8,12,15,39,109,48,NR,52,5.4,2,73,70,5.7,4.1,48
2015/1/1,11,16,1.9,0.52,0.11,2.6,12,14,44,100,47,NR,48,6.7,2,73,80,4.6,4.7,48
2015/1/1,12,16,1.9,0.49,0.1,2.6,12,15,46,95,43,NR,48,4.1,2,70,70,4.9,4,47
2015/1/1,13,15,1.9,0.42,0.09,2.2,11,13,47,97,37,NR,50,2.7,2,64,58,5.5,4.3,43
2015/1/1,14,15,1.9,0.4,0.09,2.1,11,13,46,92,29,NR,52,2.2,1.9,60,55,6.4,4.4,37
2015/1/1,15,14,1.9,0.41,0.09,1.9,11,13,42,78,26,NR,53,2.4,1.9,69,71,5.2,3.7,29
2015/1/1,16,14,1.9,0.4,0.08,1.6,11,13,40,68,26,NR,52,2.6,1.9,69,70,6,5.2,26
2015/1/1,17,13,1.9,0.41,0.09,1.2,12,13,36,62,23,NR,53,3.8,1.9,70,71,4.8,4.6,26
2015/1/1,18,12,1.9,0.44,0.11,1.3,15,16,31,61,21,NR,56,1.7,2,71,78,4,3.6,23
2015/1/1,19,12,1.9,0.38,0.11,1.2,14,15,33,53,18,NR,57,2.1,2,71,72,5,3.5,21
2015/1/1,20,12,1.9,0.33,0.09,1.1,12,14,34,48,17,NR,58,1.9,2,70,71,5,3.8,18
2015/1/1,21,12,1.9,0.32,0.09,1,12,13,32,45,17,NR,60,1.7,2,70,72,4.6,3.6,17
2015/1/1,22,12,1.9,0.31,0.09,1,13,14,30,39,17,NR,61,1.8,2,62,66,4.7,3.4,17
2015/1/1,23,12,1.9,0.29,0.08,1.1,12,13,30,37,17,NR,62,2,2,64,67,3.6,3,17
2015/1/2,0,12,1.9,0.27,0.08,0.9,13,14,29,37,17,NR,64,4.4x,2,58,63,4.3,3.1,17
2015/1/2,1,12,1.9,0.26,0.07,0.7,10,11,32,35,17,NR,65,0.2x,1.9,59,65,3.5,2.7,17
2015/1/2,2,12,1.9,0.24,0.06,0.6,8.9,9.5,35,35,15,NR,65,-0.2x,1.9,73,76,2.6,2.3,17
2015/1/2,3,12,1.9,0.25,0.07,0.7,8.1,8.8,34,37,15,NR,65,0.2x,2,66,65,3.3,2.5,15
2015/1/2,4,12,1.9,0.21,0.06,0.9,6.8,7.7,36,35,17,NR,65,1.5x,1.9,70,70,3.2,2.5,15
2015/1/2,5,12,1.9,0.21,0.06,0.9,6.6,7.5,36,38,17,NR,65,-0.4x,1.9,71,69,3.5,2.5,17
2015/1/2,6,12,1.9,0.24,0.07,1.1,8.1,9.2,33,37,18,NR,63,4.9x,1.9,70,75,3.1,2.8,17
2015/1/2,7,12,1.9,0.31,0.09,1.6,14,15,28,34,17,NR,63,3.6x,2,69,72,3.3,2.7,18
2015/1/2,8,13,1.9,0.36,0.12,3.2,16,19,27,44,21,NR,60,0x,2,69,72,3.7,3.1,17
2015/1/2,9,15,1.9,0.34,0.11,3.7,12,16,32,51,25,NR,55,0x,2,72,75,3.2,3,21
2015/1/2,10,16,1.9,0.34,0.11,3.3,11,14,35,48,23,NR,53,-0.5x,2,70,77,3.2,2.7,25
2015/1/2,11,17,1.9,0.34,0.11,3.1,10,13,38,48,24,NR,52,-1*,2,69,68,4.3,3.4,23
2015/1/2,12,17,1.9,0.32,0.11,2.9,10,13,40,49,21,NR,51,-0.6*,2,65,73,4.7,3.5,24
2015/1/2,13,18,1.9,0.32,0.1,2.8,11,14,39,46,21,NR,49,-0.6*,2,69,64,4.6,3.2,21
2015/1/2,14,18,1.9,0.34,0.11,3,12,15,38,46,22,NR,50,-1*,2,65,79,3.5,2.6,21
2015/1/2,15,18,1.9,0.32,0.11,2.4,12,15,37,46,20,NR,51,-0.9*,2,68,61,3.8,3.1,22
2015/1/2,16,17,1.9,0.35,0.13,1.9,15,17,32,45,19,NR,54,-0.9*,2,71,73,3,2.6,20
2015/1/2,17,16,1.9,0.34,0.12,1.7,15,17,30,42,19,NR,57,-0.4x,2,70,67,3,2.8,19
2015/1/2,18,15,1.9,0.38,0.13,1.6,17,19,28,38,19,NR,60,0x,2,73,74,3.3,2.4,19
2015/1/2,19,14,1.9,0.32,0.1,1.4,13,15,32,38,17,NR,61,-0.9*,2,70,74,3.4,3.1,19
2015/1/2,20,14,1.9,0.28,0.08,1.3,13,14,32,35,15,NR,61,-0.6*,1.9,65,66,3.5,3.1,17
2015/1/2,21,14,1.9,0.29,0.08,1.4,14,16,30,32,15,NR,62,1.2x,1.9,70,70,2.8,2.4,15
2015/1/2,22,14,1.9,0.26,0.07,1.1,10,12,34,28,13,NR,62,-0.6*,1.9,70,72,2.2,1.8,15
2015/1/2,23,13,1.9,0.24,0.07,1,11,12,32,29,12,NR,63,1x,1.9,63,70,1.6,1.6,13
2015/1/3,0,13,1.9,0.21,0.06,0.9,10,11,33,29,11,NR,64,0.3,1.9,60,58,1.9,1.7,12
